strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9529061662198391,1865,1777.17
1_SC,0.9353722549544725,1867,1746.3400000000001
2_ToT,0.9561173936456652,1857,1775.5100000000002
3_GoT,0.9513624124932689,1857,1766.6800000000003
4_Auto-CoT,0.9523478729133011,1857,1768.5100000000002
5_KGR,0.9363704900376952,1857,1738.8400000000001
6_ART,0.956295099623048,1857,1775.8400000000001
7_ReAct,0.9480398492191708,1857,1760.5100000000002
8_APE,0.9400538502961768,1857,1745.6800000000003
9_RAG,0.9299892299407646,1857,1726.9899999999998
